Name,Due Date,Link to search,Status,Industry,Company Size,Titles,Regions,,,,,,,,
Dhrishti,16 Feb 2026,Radhe,Done,"Retail, Hospitality, Real Estate",51 to 200 employees,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, CTO, CIO, Head of IT, VP of IT, Director of IT, Head of Technology, VP of Technology, Director of Technology","United Arab Emirates, Saudi Arabia, Qatar, Kuwait",,,,,,,,
GSSPEC,16 Feb 2026,Radheshyam,Done,"IT Services, Staffing, Human Resource",51 to 200 employees,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, CTO, CIO, Head of Recruitment, VP of Recruitment, Director of Recruitment, Head of HR, VP of HR, Director of HR, CHRO, Chief Talent Acquisition Officer, Head of Talent Acquisition, VP of Talent Acquisition, Director of Talent Acquisition","Mumbai, Pune, Chennai, Hyderabad, Bengaluru, Pune, Delhi, Noida, Gurugram",,,,,,,,
Automation Teknix,16 Feb 2026,Radheshyam,Done,"Mechanical & Industrial Engineering, Machinery, Automotive",51 to 200 employees,"CEO, Founder, Co-Founder, Managing Director, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, Head of QA, Vp of QA, Director of QA, Head of Product, VP of Product, Director of Product, Chief Product Officer","Mumbai, Pune, Chennai, Hyderabad, Bengaluru, Pune, Delhi, Noida, Gurugram",,,,,,,,
Mtree,16 Feb 2026,,Done,"Education, Logistics, Healthcare",51 to 200 employees,"CEO, Founder, Co-Founder, Managing Director, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, CTO, CIO, Head of IT, VP of IT, Director of IT, Head of Technology, VP of Technology, Director of Technology","Mumbai, Hyderabad, Chennai, Gurugram, Bengaluru, Delhi, Kolkata, Ahmedabad, Pune, New Delhi, Noida",,,,,,,,
Arme.ai,16 Feb 2026,Radhe,Done,Banks,500 to 1000,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, Head of Risk, VP of Risk, Director of Risk, Chief Risk Officer, Risk Manager, Operations Manager, IT Manager","UAE, Saudi Arabia, Qatar, Oman, Bahrain",,,,,,,,
Tinkerlabs,,,Done,,,,,,,,,,,,
Shieldbyte infosec,16 Feb 2026,Radhe,Done,"Banking, Financial Services, Insurance",500 to 1000 employees,"Head of Risk, VP of Risk, Director of Risk, Chief Risk Officer, Director of Head of Compliance, Compliance, Director of Compliance, Chief Compliance Officer, CISO, Head of Information Security, Director of Information Security, VP of Information Security, Risk Manager, Compliance Manager, IT Manager, Head of IT, VP of IT, Director of IT, CIO","Mumbai, Pune, Chennai, Hyderabad, Bengaluru, Pune, Delhi, Noida, Gurugram",,,,,,,,
Rockwell,16 Feb 2026,,Done,,,,,,,,,,,,
More4less,16 Feb 2026,,Done,,,,,,,,,,,,
RJMD,16 Feb 2026,,Done,,,,,,,,,,,,
Sourcebuddy,16 Feb 2026,,Done,,,,,,,,,,,,
Sourcebuddy,17 Feb 2026,,Done,,,,,,,,,,,,
Infinzi,16 Feb 2026,,Done,,,,,,,,,,,,
Yodaplus,16 Feb 2026,,Done,,,,,,,,,,,,
Master India,16 Feb 2026,,Done,,,,,,,,,,,,
more4less,16 Feb 2026,Sharede doc with Aryan for review,Done,,,,,,,,,,,,
TCB Accounting,16 Feb 2026,,Done,"Accounting, CPA firms",11-50 employees,"Partner, Shareholder, Tax Partner, Audit Partner, Director, Partner-In-Charge, Member, Principal, Director of Tax, Tax Principal, Managing Partner, CEO, Founder, Co-Founder, Owner, Executive Director",United States,,,,,,,,
Axitrust,16 Feb 2026,,Done,,,,,,,,,,,,
91Social,16 Feb 2026,,Done,,,,,,,,,,,,
aliter,16 Feb 2026,,Done,,,,,,,,,,,,
Divinisoft,16 Feb 2026,,Done,Finance,11 to 200,"CEO, Founder, Co-Founder, COO, Executive Director, CTO, VP of Engineering, Director of Engineering, Head of Engineering, Head of Operations, VP of Operations, Director of Operations, CIO",United Arab Emirates,,,,,,,,
TheAlly,16 Feb 2026,,Done,Education,51 to 200 employees,"CEO, Founder, Co-Founder, MD, Executive Director, Chief Sales Officer, Head of Sales, VP of Sales, Director of Sales, CMO, Head of Marketing, VP of Marketing, Director of Marketing, Head of Growth, VP of Growth, Director of Growth, Chief Growth Officer","Mumbai, Pune, Chennai, Hyderabad, Bengaluru, Pune, Delhi, Noida, Gurugram",,,,,,,,
Raas,16 Feb 2026,,Done,,,,,,,,,,,,
Accurascan,16 Feb 2026,Shared on chat,Done,,,,,,,,,,,,
Aptocoiner,16 Feb 2026,Shared on chat,Done,,,,,,,,,,,,
Krinati Solutions,16 Feb 2026,Shared on chat,Done,,,,,,,,,,,,
TCB,16 Feb 2026,Shared on chat,Done,,,,,,,,,,,,
New item,,,,,,,,,,,,,,,
New item,,,,,,,,,,,,,,,
New item,,,,,,,,,,,,,,,
New item,,,,,,,,,,,,,,,
New item,,,,,,,,,,,,,,,
New item,,,,,,,,,,,,,,,
New item,,,,,,,,,,,,,,,
New item,,,,,,,,,,,,,,,
Notionmind,17 Feb 2026,,Done,Software devlopment,200 to 500,"CEO, Founder, Co-Founder, Managing Director, Executive Director, COO, CTO, CIO, Head of Operations, VP of Operations, Director of Operations, Head of IT, VP of IT, Director of IT","Mumbai, Pune, Chennai, Hyderabad, Bengaluru, Delhi, Noida",,,,,,,,
Notionmind,20 Feb 2026,,Done,Software devlopment,200 to 500,"CEO, Founder, Co-Founder, Managing Director, Executive Director, COO, CTO, CIO, Head of Operations, VP of Operations, Director of Operations, Head of IT, VP of IT, Director of IT","Exclude Gujarat
Mumbai, Pune, Chennai, Hyderabad, Bengaluru, Delhi, Noida",,,,,,,,
Infinite Solutions,17 Feb 2026,,Done,"Hospitality, Restuarants",11 to 50,"CEO, Founder, Co-Founder, Managing Director, Executive Director, CFO, Head of Finance, VP of Finance, Director of Finance, Head of Accounts, VP of Accounts, Director of Accounts","New York, Dallas, Boston",,,,,,,,
Cliqvenus,17 Feb 2026,,Done,"Retail, Manufacturing, Logistics & Supply Chain",100 to 1000 employees,"CEO, Founder, Co-Founder, Managing Director, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, CTO, CIO, Head of IT, VP of IT, Director of IT, Head of Technology, VP of Technology, Director of Technology, Head of Data, Chief Data Officer","Mumbai, Pune, Chennai, Hyderabad, Bengaluru, Pune, Delhi, Noida, Gurugram",,,,,,,,
Wyzmindz,17 Feb 2026,,Done,"Electrical and electronics Manufacturing, Machinery, Food Manufacturing",51 to 200,"CEO, Founder, Co-founder, Managing Director, Executive Director, Head of Operations, VP of Operations, Director of Operations, Head of Operations, VP of Operations, Director of Operations, Head of IT, VP of IT, Director of IT",India,,,,,,,,
Seredium,17 Feb 2026,,Done,"Mechanical & Industrial Engineering, Food Production, Machinery, Industrial Automation, Electrical & Electronics Manufacturing, Automotive",200 to 500 employees,"CEO, Founder, Co-Founder, Managing Director, Executive Director, Head of Operations, Vp of Operations, Director of Operations, Head of Procurement, VP of Procurement, Director of Procurement, Plant Head","Mumbai, Pune, Chennai, Bengaluru, Hyderabad, Delhi, Noida, Gurugram",,,,,,,,
Enterprise business,13 Feb 2026,Client's approval pending,Done,Restaurants,51 to 1000 employees,"CEO, Founder, Co-Founder, MD, Executive Director, COO, CIO, Head of Operations, VP of Operations, Director of Operations, Head of Technology, VP of Technology, Director of Technology",United Kingdom,,,,,,,,
Pravaah,17 Feb 2026,,Done,"Financial Services, Mechanical & Industrial Engineering, Machinery, Food Production, Electrical & Electronic Manufacturing",51 to 200 employees,"CEO, Founder, Co-Founder, Managing Director, Executive Director, COO, CIO, CTO, Head of Operations, VP of Operations, Director of Operations, Head of IT, VP of IT, Director of IT","South Africa, UAE, Saudi Arabia, Qatar",,,,,,,,
Weeloy,17 Feb 2026,Navigator - shared on chat,Done,,,,,,,,,,,,
Blugate,17 Feb 2026,,Done,Accounting,11 to 200 employees,"CEO, Founder, Co-Founder, Managing Director, Executive Director, Owner, Head of Accounting, VP of Accounting, Director of Accounting, Accounting Manager, COO, Head of Operations, VP of Operations, Director of Operations, Operations Manager","Canada, United states",,,,,,,,
Arlanto,17 Feb 2026,,Done,"Logistics, Financial Services, Banking",51 to 500 employees,"CEO, Founder, Co-Founder, Managing Director, Executive Director, CTO, Head of IT, VP of IT, Director of IT, Head of Operations, VP of Operations, Director of Operations, CIO","Delhi, Noida, Gurugram, Ahmedabad, Pune, Bengaluru, Mumbai, Navi Mumbai, Thane",,,,,,,,
Durvah - Kinaxis,17 Feb 2026,,Done,"Logistics, Electronics, Aerospace, Pharma",500 to 1000 employees,"CEO, Founder, Co-Founder, Managing Director, Executive Director, COO, CIO, CTO, Head of Operations, VP of Operations, Director of Operations, Head of IT, VP of IT, Director of IT","United kingdom, Finland",,,,,,,,
Sunone,17 Feb 2026,Shared on chat,Done,,,,,,,,,,,,
Infinzi,17 Feb 2026,,Done,"Retail, Construction",200 to 500 employees,"CEO, Founder, Co-Founder, Managing Director, Executive Director, Chief Financial Officer, Head of Finance, VP of Finance, Director of Finance, Head of Accounting","United Arab Emirates, Saudi Arabia, Qatar, Turkey",,,,,,,,
Shrikhande,17 Feb 2026,,Done,"Real estate, Construction",51 to 500,"CEO, Founder, Co-founder, Project Director, Head of Engineering, Chief Structural Engineer, Project Manager, Head of Infrastructure, Director (Projects), Managing Director, Government Procurement Officer","India, Africa",,,,,,,,
Radiant insta credit,17 Feb 2026,,Done,,,,,,,,,,,,
Dextralab,17 Feb 2026,Shared on chat,Done,,,,,,,,,,,,
Frontial,17 Feb 2026,,Done,"Logistics & Supply Chain,Transportation, Hospitality",51 to 200 employees,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, CTO, CIO, Head of IT, VP of IT, Director of IT, Head of Technology, VP of Technology, Director of Technology, Operations Manager, IT Manager",Canada,,,,,,,,
Cliniops,17 Feb 2026,,Done,,,,,,,,,,,,
Sawaai - Air care,17 Feb 2026,,Done,"Hotels, Hospitality",50 to 1000 employees,"Head of Facilities, Facilities Manager, Operations Head, Property Manager, Admin Head, Procurement Head","United Arab Emirates, Mumbai, Pune, Chennai, Hyderabad, Bengaluru, Delhi",,,,,,,,
data crop,17 Feb 2026,,Done,"Mechanical & Industrial Engineering, Food Production, Machinery, Industrial Automation, Electrical & Electronics Manufacturing, Automotive",200 to 500 employees,"CEO, Founder, Co-Founder, Managing Director, Executive Director, Head of Operations, Vp of Operations, Director of Operations, Head of Procurement, VP of Procurement, Director of Procurement, Plant Head","Argentina, Chile, South Africa",,,,,,,,
cliquenus,17 Feb 2026,,Done,"Hospitals & Healthcare, Pharmaceutical",200  to  500,"CEO, Founder, Co-Founder, Managing Director, Executive Director, Head of Operations, Vp of Operations, Director of Operations, Head of Procurement, VP of Procurement, Director of Procurement, Plant Head","Mumbai, Pune, Chennai, Bengaluru, Hyderabad, Noida, Delhi",,,,,,,,
shrikhande,17 Feb 2026,,Done,"Mechanical & Industrial Engineering, Food Production, Machinery, Industrial Automation, Electrical & Electronics Manufacturing, Automotive",200 to 500 employees,"CEO, Founder, Co-Founder, Managing Director, Executive Director, Head of Operations, Vp of Operations, Director of Operations, Head of Procurement, VP of Procurement, Director of Procurement, Plant Head","Argentina, Chile, South Africa",,,,,,,,
RAAS CHRO,17 Feb 2026,,Done,,,,,,,,,,,,
Green collar,17 Feb 2026,,Done,,,,,,,,,,,,
Rockwell,18 Feb 2026,,Done,refrer  To  project  plan,,,,,,,,,,,
Nixsoft,18 Feb 2026,,Done,"Banking, Financial Services, Insurance, Telecom",200 to 500 employees,"CEO, Founder, Co-Founder, Managing Director, Executive Director, Head of Infrastructure, VP of Infrastructure, Director of Infrastructure, Chief Infrastructure Officer, COO, Head of Operations, VP of Operations, Director of Operations, CTO, Head of Technology, VP of Technology, Director of Technology, CIO","Mumbai (Primary), Pune, Chennai, Hyderabad, Bengaluru, Pune, Delhi, Noida, Gurugram",,,,,,,,
Thrise,18 Feb 2026,,Done,"Retail, Apparel and fashion",11 to 500,"CEO, Founder, Co-Founder, Managing Director, Executive Director, CMO, Head of Marketing, VP of Marketing, Director of Marketing, Head of Growth, VP of Growth, Director of Growth, Chief Growth Officer, Chief Sales Officer, Head of Sales, VP of Sales, Director of Sales","Mumbai, Pune, Chennai, Hyderabad, Bengaluru, Delhi, Noida, Gurugram",,,,,,,,
Vinay Enterprises,18 Feb 2026,,Done,"Healthcare, Hospitality",200 to 500,"IT Head, Network Administrator, Infrastructure Head, Chief Information Officer, Chief Technology Officer, Facility Head, Head of Administration, VP of Administration, Director of Administration, Head of Facilities, VP of Facilities, Director of Facilities",India,,,,,,,,
Internal Campaign - Recently joined,18 Feb 2026,shared on chat,Done,,,,,,,,,,,,
Floatinity - New GTM,18 Feb 2026,,Done,"Retail, Logistics, Education",11 to 200 employees,"CEO, Founder, Co-Founder, Managing Director, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, CTO, CIO, Head of IT, VP of IT, Director of IT, Head of Technology, VP of Technology, Director of Technology","United Arab Emirates, Saudi Arabia",,,,,,,,
Linkworks,18 Feb 2026,,Done,Transportation,51 to 500 employees,"CEO, Founder, Co-Founder, Managing Director, Executive Director, Head of Operations, VP of Operations, Director of Operations, Head of Supply Chain, VP of Supply Chain, Director of Supply Chain, Chief Supply Chain Officer, COO","Mumbai, Pune, Chennai, Hyderabad, Bengaluru, Delhi, Noida, Ahmedabad, Gurgaon",,,,,,,,
Solveease,18 Feb 2026,,Done,"Retail, Logistics & Supply Chain",51 to 200 employees,"CEO, Founder, Co-Founder, Managing Director, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, CTO, CIO, Head of IT, VP of IT, Director of IT, Head of Technology, VP of Technology, Director of Technology","Mumbai, Pune, Chennai, Hyderabad, Bengaluru, Delhi, Noida, Ahmedabad, Gurgaon",,,,,,,,
Veegent,18 Feb 2026,,Done,"Food Manufacturing, Consumer Good, Healthcare",11 to 50 employees,"CEO, Founder, Co-Founder, Managing Director, Executive Director, CISO, COO, CIO, Head of Information Security, VP of Information Security, Director of Information Security, Head of IT, VP of IT, Director of IT","Mumbai, Pune, Chennai, Hyderabad, Bengaluru, Delhi, Noida, Ahmedabad, Gurgaon",,,,,,,,
Ibyte,18 Feb 2026,,Done,Logistics & Supply Chain,51 to 500 employees,"CEO, Founder, Co-Founder, Managing Director, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, CTO, CIO, Head of IT, VP of IT, Director of IT, Head of Technology, VP of Technology, Director of Technology","South Africa, Nigeria, Kenya",,,,,,,,
Salesforce,18 Feb 2026,Shared on chat,Done,,,,,,,,,,,,
IBM,18 Feb 2026,Shared on chat,Done,,,,,,,,,,,,
Accenture,18 Feb 2026,Shared on chat,Done,,,,,,,,,,,,
Oracle,18 Feb 2026,Shared on chat,Done,,,,,,,,,,,,
Neosoft,18 Feb 2026,Shared on chat,Done,,,,,,,,,,,,
Honeywell,18 Feb 2026,Shared on chat,Done,,,,,,,,,,,,
Persistent,18 Feb 2026,Shared on chat,Done,,,,,,,,,,,,
Wipro,18 Feb 2026,Shared on chat,Done,,,,,,,,,,,,
Aptocoiner - Microsoft,18 Feb 2026,https://app.apollo.io/#/people?contactEmailStatusV2[]=verified&notOrganizationIds[]=62337760d02af100a5ca2468&organizationNumEmployeesRanges[]=11%2C20&organizationNumEmployeesRanges[]=51%2C100&organizationNumEmployeesRanges[]=101%2C200&organizationNumEmployeesRanges[]=21%2C50&organizationNumEmployeesRanges[]=201%2C500&organizationNumEmployeesRanges[]=1001%2C2000&organizationNumEmployeesRanges[]=501%2C1000&sortByField=recommendations_score&sortAscending=false&personPastOrganizationIds[]=62337760d02af100a5ca2468&organizationIndustryTagIds[]=5567ce9d7369643bc19c0000&organizationIndustryTagIds[]=5567ce9e736964540d540000&organizationIndustryTagIds[]=5567cd4c73696453e1300000&organizationIndustryTagIds[]=5567cdd97369645430680000&organizationIndustryTagIds[]=5567e19c7369641c48e70100&organizationIndustryTagIds[]=5567cd4973696439b9010000&organizationIndustryTagIds[]=5567ced173696450cb580000&organizationIndustryTagIds[]=5567cd82736964540d0b0000&personLocations[]=India&personLocations[]=South%20Africa&personLocations[]=United%20Arab%20Emirates&personLocations[]=Dallas%2C%20Texas&personLocations[]=San%20Francisco%2C%20California&personLocations[]=Chicago%2C%20Illinois&personLocations[]=San%20Jose%2C%20California&personTitles[]=CEO&personTitles[]=Founder&personTitles[]=Co-Founder&personTitles[]=MD&personTitles[]=Executive%20Director&personTitles[]=Head%20of%20BI&personTitles[]=VP%20of%20BI&personTitles[]=Director%20of%20BI&personTitles[]=Head%20of%20Operations&personTitles[]=VP%20of%20Operations&personTitles[]=Director%20of%20Operations&personTitles[]=COO&personTitles[]=CIO&personTitles[]=Head%20of%20Analytics&personTitles[]=Analytics%20Manager&personTitles[]=BI%20Manager&personTitles[]=managing%20director&page=1&recommendationConfigId=6971b750cec10d0001ea762b,Done,,,,,,,,,,,,
